Gryffindor,Slytherin,Ravenclaw,Hufflepuf
-1.369127466799207937e+00,-1.686202026396205644e+00,-1.348481042753172821e+00,-9.468154895809967053e-01
-7.595644817805420335e-01,-5.755978523883658049e-01,4.674982720369334488e-01,6.603120668028530371e-01
-4.641676296809146840e-01,9.519446207571570229e-01,7.934994786085101115e-01,-1.617250914491478397e+00
-5.203628180327236202e-02,-9.781677516517873761e-01,2.417104680422243745e-01,3.873402238497778982e-01
-3.442540591942283013e-01,1.298422704738488309e-01,1.114818035238035243e+00,-5.086884857375084668e-01
8.605264206893571410e-01,-7.398072182557831056e-01,7.547496320085199661e-01,-8.751267399184848861e-01
-8.131938602345132328e-01,-3.275535473880367837e-02,8.178183753923561061e-02,5.681398264403504372e-01
-9.285974228613183001e-01,-4.480982584991455298e-02,1.134034908975913025e-01,7.572540433584500352e-01
-4.024935735381436896e-01,5.337582803983806912e-01,3.406179172124040172e-02,-5.254284755865180623e-01
-8.242672140072793141e-02,-7.975951987071023819e-01,9.195268437723154165e-01,-3.370135737990262448e-02
8.995257937377021396e-01,-4.694000127259627120e-01,-4.174323861357679549e-02,-2.905586948420478821e-01
